gene_ID	SampleName	tissue	mean.logTPM	mean.TPM	z.score.TPM	z.score.logTPM	group
Hipap_TRINITY_DN97383_c0_g3	Peduncle	Peduncle	0.18237092811551583	0.525237	1.1887352869034788	1.2743793366913032	12
Hipap_TRINITY_DN97383_c0_g3	Petal	Petal	0.061947780105118005	0.160391	-0.24821968198009955	-0.18711617774685801	12
Hipap_TRINITY_DN97383_c0_g3	Pistil	Pistil	0.23186760193791958	0.7315666666666667	2.0013697676015245	1.8750874892867309	12
Hipap_TRINITY_DN97383_c0_g3	Root	Root	0	0	-0.8799235910655934	-0.9389351116383242	12
Hipap_TRINITY_DN97383_c0_g3	Stem	Stem	0.07233641689149337	0.19603266666666666	-0.10784409881361598	-0.06103621458974221	12
Hipap_TRINITY_DN97383_c0_g3	Young_leaf	Young_leaf	0.04965737289694041	0.12548933333333334	-0.38568075689659864	-0.3362766614423935	12
Hipap_TRINITY_DN97384_c0_g1	Basal_plate	Basal_plate	0.2720064721728586	0.88227	1.3236611400195661	1.2995576571038447	12
Hipap_TRINITY_DN97384_c0_g1	Inner_bulb	Inner_bulb	0.1913577561455132	0.5970758666666667	0.5720768805997982	0.5946457244403981	12
Hipap_TRINITY_DN97384_c0_g1	Old_leaf	Old_leaf	0	0	-1.001422608401201	-1.0779210857855355	12
Hipap_TRINITY_DN97384_c0_g1	Peduncle	Peduncle	0.014872564216005323	0.0350054	-0.9091713852529942	-0.9479271007404321	12
Hipap_TRINITY_DN97384_c0_g1	Petal	Petal	0.12207815807840472	0.3279029333333333	-0.13728602736270762	-0.010894174683023597	12
Hipap_TRINITY_DN97384_c0_g1	Pistil	Pistil	0	0	-1.001422608401201	-1.0779210857855355	12
Hipap_TRINITY_DN97384_c0_g1	Root	Root	0.13890926264844528	0.38266476666666666	0.0070301669055549505	0.13621847677326246	12
Hipap_TRINITY_DN97384_c0_g1	Stem	Stem	0.06731533394992768	0.1807982	-0.524957403233024	-0.4895498817549643	12
Hipap_TRINITY_DN97384_c0_g1	Young_leaf	Young_leaf	0.30338146231188445	1.0142569	1.671491845126208	1.5737914704319855	12
Hipap_TRINITY_DN97384_c1_g1	Basal_plate	Basal_plate	0.13396965888901066	0.361447	0.6520013169879972	0.7325995913945638	12
Hipap_TRINITY_DN97384_c1_g1	Inner_bulb	Inner_bulb	0.21118773026884063	0.6349993333333334	1.9847476547038143	1.8459720165268207	12
Hipap_TRINITY_DN97384_c1_g1	Old_leaf	Old_leaf	0.03157786339785207	0.07722883333333333	-0.7327089361529753	-0.7437413689860551	12
Hipap_TRINITY_DN97384_c1_g1	Peduncle	Peduncle	0	0	-1.108967634212208	-1.1990482903260415	12
Hipap_TRINITY_DN97384_c1_g1	Petal	Petal	0.0314337820758311	0.07669190000000001	-0.7353248741158424	-0.7458188123623041	12
Hipap_TRINITY_DN97384_c1_g1	Pistil	Pistil	0.052137423334968035	0.13212	-0.46527929862615774	-0.44730237876260875	12
Hipap_TRINITY_DN97384_c1_g1	Root	Root	0.12249662400062857	0.32785200000000003	0.48832655439328526	0.5671750936177185	12
Hipap_TRINITY_DN97384_c1_g1	Stem	Stem	0.03410340997848593	0.0837551	-0.7009129799899615	-0.7073266558105161	12
Hipap_TRINITY_DN97384_c1_g1	Young_leaf	Young_leaf	0.13153468498881937	0.3544923333333333	0.6181181970120475	0.697490804708422	12
Hipap_TRINITY_DN97386_c0_g1	Basal_plate	Basal_plate	0.2547174899769304	0.81404	1.9201695519060058	1.878510639490932	12
Hipap_TRINITY_DN97386_c0_g1	Inner_bulb	Inner_bulb	0.19556104668238444	0.631939	1.1261365905362686	1.0056546207495767	12
Hipap_TRINITY_DN97386_c0_g1	Old_leaf	Old_leaf	0.13059306878604282	0.35566733333333334	-0.07851802215606324	0.04704914391379438	12
Hipap_TRINITY_DN97386_c0_g1	Peduncle	Peduncle	0.13156623494852016	0.38561666666666666	0.05207301159837001	0.06140825502404743	12
Hipap_TRINITY_DN97386_c0_g1	Petal	Petal	0.0438779343358222	0.10975	-1.1508156396255746	-1.232436619690579	12
Hipap_TRINITY_DN97386_c0_g1	Pistil	Pistil	0.07509372321090148	0.2078243333333333	-0.7231724452936963	-0.7718462311895773	12
Hipap_TRINITY_DN97386_c0_g1	Root	Root	0.08428736127832484	0.2171786666666667	-0.6823838225057579	-0.6361936822132263	12
Hipap_TRINITY_DN97386_c0_g1	Stem	Stem	0.07070801601709904	0.19330433333333333	-0.7864854342343861	-0.8365575408517769	12
Hipap_TRINITY_DN97386_c0_g1	Young_leaf	Young_leaf	0.16023460853528856	0.44774933333333333	0.3229962097748331	0.4844114147668102	12
Hipap_TRINITY_DN97386_c0_g2	Basal_plate	Basal_plate	0.08141157146879857	0.21649300000000002	0.486768840084389	0.48479080660684665	12
Hipap_TRINITY_DN97386_c0_g2	Inner_bulb	Inner_bulb	0.09936399115860112	0.25793133333333335	0.7703274534610848	0.8125375704032198	12
Hipap_TRINITY_DN97386_c0_g2	Old_leaf	Old_leaf	0	0	-0.9946723750327172	-1.0014923544108396	12
Hipap_TRINITY_DN97386_c0_g2	Peduncle	Peduncle	0.07185224386058586	0.18792466666666666	0.29127842493376566	0.31027178678687833	12
Hipap_TRINITY_DN97386_c0_g2	Petal	Petal	0	0	-0.9946723750327172	-1.0014923544108396	12
Hipap_TRINITY_DN97386_c0_g2	Pistil	Pistil	0	0	-0.9946723750327172	-1.0014923544108396	12
Hipap_TRINITY_DN97386_c0_g2	Root	Root	0.13398534634978512	0.366054	1.5102006811791564	1.444599282318341	12
Hipap_TRINITY_DN97386_c0_g2	Stem	Stem	0.10710003501582488	0.27982066666666666	0.920114100472474	0.9537699715280727	12
Hipap_TRINITY_DN97386_c0_g2	Young_leaf	Young_leaf	0	0	-0.9946723750327172	-1.0014923544108396	12
Hipap_TRINITY_DN97386_c0_g3	Basal_plate	Basal_plate	0.07129849893276057	0.18615933333333332	0.5209032481312793	0.6159947054922188	12
Hipap_TRINITY_DN97386_c0_g3	Inner_bulb	Inner_bulb	0.11186028104192146	0.3260883333333333	1.5239499304124424	1.4349963580778955	12
Hipap_TRINITY_DN97386_c0_g3	Old_leaf	Old_leaf	0	0	-0.8135342285581355	-0.8236261744695818	12
Hipap_TRINITY_DN97386_c0_g3	Peduncle	Peduncle	0	0	-0.8135342285581355	-0.8236261744695818	12
Hipap_TRINITY_DN97386_c0_g3	Petal	Petal	0	0	-0.8135342285581355	-0.8236261744695818	12
Hipap_TRINITY_DN97386_c0_g3	Pistil	Pistil	0	0	-0.8135342285581355	-0.8236261744695818	12
Hipap_TRINITY_DN97386_c0_g3	Root	Root	0	0	-0.8135342285581355	-0.8236261744695818	12
Hipap_TRINITY_DN97386_c0_g3	Stem	Stem	0.08561736243240112	0.232277	0.851486419200526	0.9051134833061195	12
Hipap_TRINITY_DN97386_c0_g3	Young_leaf	Young_leaf	0.09834119844917198	0.2768966666666667	1.1713315450464294	1.1620263254716747	12
Hipap_TRINITY_DN97386_c0_g4	Basal_plate	Basal_plate	0.562766812564512	2.815768333333333	-0.5673335522487647	-0.5948173314937839	12
Hipap_TRINITY_DN97386_c0_g4	Inner_bulb	Inner_bulb	0.8262469962706823	5.8062336666666665	2.168342026996587	1.9556982051814364	12
Hipap_TRINITY_DN97386_c0_g4	Old_leaf	Old_leaf	0.5341583232788647	2.7096299999999998	-0.6644288247755163	-0.8717504783342355	12
Hipap_TRINITY_DN97386_c0_g4	Peduncle	Peduncle	0.7114701055319131	4.326498333333333	0.8146811869846826	0.8446459850001832	12
Hipap_TRINITY_DN97386_c0_g4	Petal	Petal	0.4790873557096341	2.1493966666666666	-1.1769298832548947	-1.404843162684639	12
Hipap_TRINITY_DN97386_c0_g4	Pistil	Pistil	0.6291860276672122	3.25936	-0.16153620822669337	0.04812756732307218	12
Hipap_TRINITY_DN97386_c0_g4	Root	Root	0.5821583057188574	2.8470276666666665	-0.5387375361470933	-0.40710566424884076	12
Hipap_TRINITY_DN97386_c0_g4	Stem	Stem	0.6710859680487481	3.8157236666666665	0.34742488191336973	0.45372334088625144	12
Hipap_TRINITY_DN97386_c0_g4	Young_leaf	Young_leaf	0.6217681290394385	3.1938310000000003	-0.2214820912416783	-0.023678461629441008	12
Hipap_TRINITY_DN97387_c0_g1	Basal_plate	Basal_plate	0.03201619701986738	0.07833816666666667	0.8286379495921481	0.8630257841542499	12
Hipap_TRINITY_DN97387_c0_g1	Inner_bulb	Inner_bulb	0.06894693835321634	0.174333	2.4111941848680156	2.395484356969231	12
Hipap_TRINITY_DN97387_c0_g1	Old_leaf	Old_leaf	0	0	-0.46283316206573766	-0.46550144873192584	12
Hipap_TRINITY_DN97387_c0_g1	Peduncle	Peduncle	0	0	-0.46283316206573766	-0.46550144873192584	12
Hipap_TRINITY_DN97387_c0_g1	Petal	Petal	0	0	-0.46283316206573766	-0.46550144873192584	12
Hipap_TRINITY_DN97387_c0_g1	Pistil	Pistil	0	0	-0.46283316206573766	-0.46550144873192584	12
Hipap_TRINITY_DN97387_c0_g1	Root	Root	0	0	-0.46283316206573766	-0.46550144873192584	12
Hipap_TRINITY_DN97387_c0_g1	Stem	Stem	0	0	-0.46283316206573766	-0.46550144873192584	12
Hipap_TRINITY_DN97387_c0_g1	Young_leaf	Young_leaf	0	0	-0.46283316206573766	-0.46550144873192584	12
Hipap_TRINITY_DN97388_c0_g1	Basal_plate	Basal_plate	0	0	-0.3333333333333333	-0.3333333333333333	12
Hipap_TRINITY_DN97388_c0_g1	Inner_bulb	Inner_bulb	0	0	-0.3333333333333333	-0.3333333333333333	12
